id,name,range,rating,id_copy,energy,danceability,loudness,valence,tempo,mode,speechiness,acousticness,instrumentalness,duration_ms,time_signature
4M79cLY4GkP14mwuytdzHj,Dern Kala - Live at RBC Echo Beach,medium_term,4.424242424242424,4M79cLY4GkP14mwuytdzHj,0.92,0.498,-7.85,0.616,94.151,1,0.0429,0.000389,0.83,214173,4
5uDdyVU0jDST7xmuOqpnC3,Retina Show - Unreleased Demo,medium_term,4.363636363636363,5uDdyVU0jDST7xmuOqpnC3,0.807,0.571,-6.584,0.388,104.973,1,0.06,0.187,0.00148,322307,4
7EUEl5wJb8VI777UAUvRnH,Brain Damage - 2011 Remastered Version,medium_term,4.303030303030303,7EUEl5wJb8VI777UAUvRnH,0.179,0.319,-17.635,0.259,133.708,1,0.0315,0.0634,0.181,225827,4
1usvtV2D0EBPb7Rk1l0PwQ,The Smoke,medium_term,4.242424242424242,1usvtV2D0EBPb7Rk1l0PwQ,0.636,0.705,-12.483,0.74,93.392,0,0.037,0.724,0.777,219727,4
76xj15f8LzACqP5f1bs9SG,Hode,medium_term,4.121212121212121,76xj15f8LzACqP5f1bs9SG,0.304,0.654,-18.558,0.253,150.007,0,0.0374,0.975,0.965,181787,4
1drLQNS9D5z9lBP4DbtO2R,Saturday Sun,medium_term,4.0606060606060606,1drLQNS9D5z9lBP4DbtO2R,0.121,0.546,-20.259,0.144,127.122,1,0.0343,0.966,0.011,245013,3
1usL7pG5XVHub0QIoJ1Lrt,Last of the Loving,medium_term,4.0,1usL7pG5XVHub0QIoJ1Lrt,0.649,0.737,-8.073,0.514,122.932,1,0.0371,0.685,0.0112,172163,4
2TBRfDnfwsOIaGxkkXFBN2,Metal Militia - Remastered,medium_term,3.939393939393939,2TBRfDnfwsOIaGxkkXFBN2,0.957,0.166,-5.323,0.235,175.828,1,0.142,8.66e-05,0.00724,311467,4
3EEzQDCP8jRl2pEt9eDKMO,I Follow You,medium_term,3.878787878787879,3EEzQDCP8jRl2pEt9eDKMO,0.78,0.41,-4.941,0.727,100.452,0,0.0327,0.0174,0.408,215587,4
3boC2M1D82RuRJhUOkSHtg,Answering Machine,medium_term,3.757575757575758,3boC2M1D82RuRJhUOkSHtg,0.27,0.582,-16.129,0.0398,119.923,1,0.0336,0.829,0.864,309000,4
3qOVqTjkuX5F0iJNdeyOyR,"O Welt, sieh' hier dein Leben, BWV 395",medium_term,3.696969696969697,3qOVqTjkuX5F0iJNdeyOyR,0.155,0.139,-19.161,0.206,77.053,1,0.0428,0.99,0.000637,49520,1
3zMvotMEQK3xvH01vA9wAP,Too Long,medium_term,3.5757575757575752,3zMvotMEQK3xvH01vA9wAP,0.582,0.692,-10.164,0.513,127.017,0,0.301,0.00211,0.0,600293,4
5L1GLFsOTrC9mDjvk4TzeM,Deadcruiser,medium_term,3.5151515151515147,5L1GLFsOTrC9mDjvk4TzeM,0.699,0.517,-6.929,0.407,176.034,1,0.0507,0.00108,0.837,213200,4
5P54gaORO9yFiQ6PO28v6T,Düsseldorf,medium_term,3.454545454545454,5P54gaORO9yFiQ6PO28v6T,0.128,0.196,-23.197,0.0364,124.011,0,0.0396,0.879,0.682,278000,4
5lcqXXSHHdEsugnaAYWOtC,Yüce Dağ Başında,medium_term,3.3939393939393936,5lcqXXSHHdEsugnaAYWOtC,0.569,0.823,-9.301,0.831,111.974,0,0.0498,0.0571,0.00242,258316,4
6bnmRsdxYacqLSlS36EJT6,Rich Woman,medium_term,3.333333333333333,6bnmRsdxYacqLSlS36EJT6,0.518,0.733,-9.889,0.652,127.646,0,0.0496,0.181,0.763,243480,4
78F8VyxSsuZZwVFHrkKMMl,One Time Villain,medium_term,3.2727272727272725,78F8VyxSsuZZwVFHrkKMMl,0.648,0.391,-10.422,0.455,103.836,1,0.029,0.0448,0.813,191512,4
7kzZwlkzIjVTgH9gbzsqe4,Night Game,medium_term,3.212121212121212,7kzZwlkzIjVTgH9gbzsqe4,0.0408,0.478,-22.193,0.158,108.029,1,0.0343,0.959,0.0326,177640,1
0RAXoT7hwOoqAXI95ryxT5,RYDEEN,medium_term,3.1515151515151514,0RAXoT7hwOoqAXI95ryxT5,0.855,0.554,-6.506,0.895,142.77,0,0.0368,8.19e-05,0.807,266360,4
3GO6bT0b1sdInk1KPCK64d,Cómo Me Quieres,medium_term,3.090909090909091,3GO6bT0b1sdInk1KPCK64d,0.536,0.55,-10.045,0.539,85.458,1,0.0423,0.00612,0.884,225154,4
3k4qL0KJ2AJu6uJQIEJFwG,My Sight Now Blurs,medium_term,3.0303030303030303,3k4qL0KJ2AJu6uJQIEJFwG,0.507,0.391,-11.359,0.145,93.874,0,0.0346,0.294,0.709,383062,4
6e2lpz6DZ2T8Sofc3Myntn,Electrocution,medium_term,2.9696969696969697,6e2lpz6DZ2T8Sofc3Myntn,0.725,0.722,-6.576,0.197,114.076,0,0.0413,0.145,0.19,150147,4
39RKlCfLoqb8o2aXfpVfjW,Mein Teil,medium_term,2.909090909090909,39RKlCfLoqb8o2aXfpVfjW,0.959,0.47,-4.338,0.199,88.0,1,0.075,0.00535,0.0101,272413,4
